date,time,username,name,tweet,mentions,hashtags,likes_count
5/24/2019,1:19:23,jrockstarbhenk,@jrockstar-bhenk,Jual Follower Bot ( Pas if )' via pulsa 1000F-10rb 1500F-15rb 2000F-20rb 2500F-25Rb . SMS 085646918474,,[],0
5/24/2019,1:17:49,tynkeur,non tale 🍉,gapapa. viral banyak followers jual akun horeee dpt uang wkwk,['joftkert'],[],0
5/24/2019,1:12:10,galerigarnisha,Galeri G. Deanda,Jual follower twiter : 500f : 5rb 1000f : 10rb 1500f : 15rb 2000f : 20rb Berlaku kelipatan! Minat?? Sms 085215634522. 7f9e1f12 *d,,[],0
5/24/2019,1:00:55,mrfollowers_id,,Jual chip (coin) 8 ball pool. 1m = 10rb . contact ~> 085797402685 #8ballpool *7,,['#8ballpool'],0
5/24/2019,1:00:23,guebangtoyib1,Promotions,JatengIKLAN Jual Followers Twitter: *1000 : Rp.10.000 *2000 : Rp.20.000 *5000 : Rp.50.000 Minat ? PM me : 082186310898,,[],0
5/24/2019,0:59:23,baniaputrr,Bania Pertiwi P♛,Klo ngomongin teori nih y. Socmed down jual beli olshop terbengkalai seterbengkalai itu gue rasa sebagian lebih followers olshop gue gakenal/males download vpn. Insight nya aja jauh parah si tptp namanya rejeki emg betulan ga kmn walopun udhnya beli promo sb nikmat bgt riba nya:),,[],0
5/24/2019,0:58:22,grabyoursid,Grab Yours!,JUAL FOLLOWERS INSTAGRAM  http://ASK.FM  TWITTER MURAH! 081213135476 LINE: EBF0414B mr_iklan Promosi_Jakarta Bom_Iklan pusatiklan promojkt,,[],0
5/24/2019,0:57:27,wenotive,Jual Followers Indo!,Dapatkan followers twitter aktif & pasif dengan proses cepat hanya di Wenotive :) Fast response : 54C4A9A0 / 0812-2829-1600,,[],0
5/24/2019,0:51:43,realfollower_ld,Jual Followers Indo,"Iklan_Laku jual followers twitter indo. harga murah, proses cepat. status followers: aktif, bukan robot. sms/wa: 082257063192 :) //51",,[],0
5/24/2019,0:49:12,jrockstarbhenk,@jrockstar-bhenk,Jual Follower Bot ( Pas if )' via pulsa 1000F-10rb 1500F-15rb 2000F-20rb 2500F-25Rb  SMS 085646918474.,,[],0
